순번,민원제목,민원내용,민원등록일,민원수정일,민원답변일,처리부서,진행상태,구
565,달라진 익산-먼지 많은 아침! 수상합니다,익산은 전국적으로 미세먼지.초미세먼지가 가장 높은 지역입니다. 언제까지 하루하루 미세먼지를 신경쓰며 아이들을 먼지속에 방치하는듯한 무기력한 기분을 부모인 우리가 느껴야하는 건가요?이제는 적극적으로 문제를 해결하기 위한 노력을 할때라고 생각합니다.지난 몇년간 미세먼지는 더욱 심각해지고 있습니다.자라나는 아이들을 위한 정책이 우선되어야 합니다.어린이집.유치원.학교  모든 기관에 환기시스템 설치가 되어야합니다.심각한 미세먼지로 인해서 외부활동이 제한이 되는 상황에서 아이들이 하루종일 생활하는 공간이 쾌적하길 바랍니다.예산의 많고.적음을 따지지 마시고 우리들의 미래인 아이들을 잘 키울수 있는 정책을 우선으로 해주시길 바랍니다.,2018-04-02,2018-04-02,2018-04-05,녹색환경과,처리완료,부안읍
566,익산역 지하차도 內 로드킬,전라북도 부안군 계화면 창북리 259-2신호등이안들어와요,2016-12-24,2016-12-24,2016-12-30,도로관리과,처리완료,소리로
567,장계농공단지 입구,"p장계농공단지 입구쪽 도로가 공사를한후 몇달째 복구가 안되고 푹파여있습니다./p

p차가 수시로 왔다갔다하는곳인데..너무 불편합니다. 빨리 조취를 취해주시기 바랍니다./p

p매일출퇴근을 하고 있는데 너무 불편합니다./p",2017-09-12,,2017-09-15,대외협력,처리완료,변산면
568,벼 건조기 관련,전라북도 부안군 부안읍 동중리 122-9불법현수막 제거요청*  *(1/1) G: 2017/10/11 13:19:33G:*,2017-10-12,,2017-10-20,민원소통과,처리완료,부안읍
569,(SPP-1709-1500059)길이다갈라져있다 * 첨부파일촬영시간 안내(안전신문고,전라북도 부안군 상서면 청림리 391-3가로등 불이 안들어와요*  *(1/1) G: 2017/09/12 15:12:34G:*,2017-09-15,,2017-09-25,건설교통과,처리완료,부안읍
570,익산보호소,1. 몇년째 자격없이 보호소장을 하여 동물들을 학대하는 저 보호소장을 자격을 박탈하고 법적인 처벌을 받게 해주세요.그리고 새로운 좋은 보호소장님을 다시 뽑아주세요. 보호소장을 뽑지 않는다면 학대하지 않고 잘 관리한다는 것을 cctv로 익산 시청 홈페이지에 24시간 모든 시민들이 볼 수 있게 해주세요.  2. 동물들이 얼어죽지 않고 배곯지 않고 발바닥이 아프지 않고너무 심각하게 아프지 않도록만 가장 기본적인 권리만... 안락사를 당하고 입양을 가기 전까지만 지켜주세요.  3. 보호소 환경을 낱낱히 공개하여 공고에 정기적으로 올려주세요. 시민들과의 약속을 지켜주세요.  4. 봉사활동을 하러 갈수 있게 정식적으로 공고 해주세요. 모두들 눈으로 확인할 수있게 떳떳히 해주시고.. 지원금이 적으니 서로 돕겠습니다.,2016-11-17,2016-11-17,2016-11-21,축산과,처리완료,부안읍
571,(SPP-1710-1900511)불이 안들어와요 * 첨부파일촬영시간 안내(안전신문고,전라북도 부안군 부안읍 모산리 1074-9불이 안들어와요*  *(1/1) G: 2017/10/19 16:29:57G:*,2017-10-19,,2017-10-27,부안읍,처리완료,동진면
572,깨끗한 환경을 만들어 주세요,"비안도 주민 이춘태입니다.비안도 여객선이 끊긴 지 14년이 지났습니다.이번 추석 때 행정선이라도 운항해주면 고맙겠습니다.혹시 행정선에 근무하시는 분도 추석명절기간에는 쉬어야 하므로어려움이 있겠지만, 10월 6일~7일 만큼이라도 운항하면 어떨까요?시장님 화이팅! ",2017-09-26,2017-09-26,2017-10-12,건설과,처리완료,부안읍
573,쓰레기 투적장소,"팔봉 공설운동장에서 익산IC방면 명장추어탕,보을궁 흑염소전문점 앞 3차선에 점심시간 저녁시간에불법주정차 너무 심각합니다.왕복6차선도로라서 차량 통행량도 많은 구간이고 한데  도로 끝에 주차를 해놓으니 사고날뻔한 적이 한두번이아닙니다.조속히 해결부탁드립니다. ",2017-07-24,2017-07-24,2017-07-25,청소자원과,처리완료,부안읍
574,국화축제로 인한 학생 등하교위험으로,"익산시 주요업무계획이 보고싶습니다현재 2015년, 2016년도 자료만 있는데 그전 자료도 받을 수 있는지 알고싶습니다",2016-11-01,2016-11-01,2016-11-03,교통행정과,처리완료,부안읍
575,한옥마을 관광 활성화를 위한 패러글라이딩 체험비행 이륙장조성,"수고하십니다.모현동 에코르아파트 뒤, 모현도서관옆 아래쪽에있는 잔디공원에서 많은 시민들이 운동하고 있는데요애견을 데리고 오는 것은 보기좋습니다만목줄을 하고 다니는 주인을 본 적이 거의 없습니다.특히 저녁에는 모임을 갖는지 중앙에 모여 강아지들을 풀어놓고 형광빛이나는 공을 던져주며 놀아주는데 흥분하여 쫓아다니다가 아이들과 부딪히는 일도 있었습니다. 오늘 역시 단 한명도 목줄을 하지않고 풀어놓고 있었습니다.바쁘시고 늦은시간이기도하고 일일히 이야기 하시기 힘드시리라 생각됩니다 단속 할 수 없다면최소한 잘보이는 곳에 푯말이나 플랜카드(잘 좀 보이게요) 라도 해주실수는 없는지요.부탁드립니다.",2016-12-12,,,기획예산과,처리완료,평화로
576,(SPP-1804-1700269)게이트볼장 라인벽이 훼손되어 어르신들이 발에걸려 넘어져,전라북도 부안군 부안읍 봉덕리 574-2불법주차입니다*  *(1/1) C: 2018/04/16 09:29:22G:  *,2018-04-17,,2018-04-24,문화체육시설사업소,처리완료,부안읍
577,[생활불편신고]불법 주차,봉덕주공2단지상가 불법건축물에 대힌 이의제기건*스캔 참고,2017-09-23,,2017-10-11,건설교통과,처리완료,변산면
578,부안군 옥내누수 감면혜택,전라북도 부안군 부안읍 봉덕리 530-1볼라드 파손 통행 불편*  *(1/1) G: 2017/10/26 10:28:46G:*,2017-10-26,,2017-11-01,맑은물사업소,처리완료,부안읍
579,(SPP-1803-1600851)깜깜해요 * 첨부파일촬영시간 안내(안전신문고 운영관리,전라북도 부안군 부안읍 봉덕리 615-16가로등 고장 (부풍로037)*  *(1/1) C: 2018/03/14 22:02:20G:  *,2018-03-16,,2018-03-27,변산면,처리완료,부안읍
580,[생활불편신고]불법 주차,전라북도 부안군 부안읍 서외리 560-4가로등고장*  *(1/2) C: 2018/06/01 20:03:10(2/2) C: 2018/06/01 20:03:32G:  *,2018-08-28,,2018-08-31,건설교통과,처리완료,주산면
581,비보호 좌회전 표지판 설치 문의,익산시 선화로 247-28 다온빌3동에 살고있는 사람입니다. Led가게 옆에 길이있고 그옆에 빌라가있는데 그 사이 길에서 개가 너무 짖어요 낮에는 조금 덜한데 밤에 미친듯이 짖습니다ㅠㅠㅠ 제발 어떻게 좀 조취를 취해주세요. 이사온지 얼마 안됐는데 잘려고만 하면 짖어서 너무 괴롭습니다. 혹시 민원을 넣었다고해서 개들 주인들이 저를 찾아와서 보복하는건 아니죠? 하ㅠㅠㅠ 진짜 직접 찾아가서 말하고싶은데 행여나 보복당할까봐 말도 못하고있습니다 개가 한마리가 아닌것같은데 제발 이글을 보신다면 꼭 처리해주시길 바랍니다,2018-05-02,2018-05-02,2018-05-04,교통행정과,처리완료,보안면
582,동산동 평동로 360-1(지번주소) 도로점용,"2017. 12. 말경 평동로 360-1번지(지번주소) 도로굴착(아스팔트 포장도로 구멍뚫는 행위)에대하여, 익산시청 구두민원에, 시청 담당자 께서는 현장확인후 """"도로점용 허가사항 외 부분이다""""""""원성복구 하라고 조치하겠다"""" 하였으나. 2018. 1. 25 훼손된 아스팔트 도로부분은 원성복구 하지 않고,다시 아스팔트 도로를 훼손하는 행위를 하고 있습니다. 익산시청 담당자에 질의하니시청 담당자 """" 비계설치를 위해 도로점용 허가를 내주었다"""". """"나중에 더 좋게 복구한다"""" 라고 답변 합니다. 시민의 세금으로 만든 도로를 개인 또는 기업의 이익을 위한 허가를 내주는 것도문제인것 같고. 더 좋게 복구 할떼끼지 주변 시민의 불편은 생각하지 않는것 같습니다.잘못된것 같은 행위애 대한 시민이 민원을 접수하니 이를 첨가하여 허가를 내주는것무엇인가 잘못된것 같습니다.   익산시 도로는 아무나 필요하면 훼손하고, 파고 뚫어도 된다는 것인가요?      ",2018-01-25,2018-01-25,2018-01-29,도로공원과,처리완료,동진면
583,(안전보안관)(SPP-1806-0100530)가로등고장 * 첨부파일촬영시간 안내(안전신문고 운영관,태양광설치 관련 *스캔 참고,2018-06-01,,2018-06-14,부안읍,처리완료,주산면
584,시골 폐가구,"귀청의 무궁한 발전을 기원하며수고가 많으십니다.시골 폐가구 스레이트지붕(1급 발암물) 철거와 관련하여 국가에서는 각 지자체에의뢰하여 신청을 받아 실시하고 있는바 부모님 사망후 시골 폐가가 노후되어 관광지 도로변과금강에 근접(도로에서 5m내외)하여  관광지 미관과 금강에 석면 침출수가 유입되는 것을 감안 금년 1월에 웅포면 웅포리 이장님을 통하여 철거신청을 하였으나  신청이 받아 들여지지 않았다고 합니다.관광지 도로변의 폐가와  금강수계의 석면침출수 유입등의 사태 심각성을 고려하여 귀청의자문을 구합니다.그럼, 수고하십시요.  ",2016-03-21,2016-03-21,2016-03-22,청소자원과,처리완료,계화면
585,불법건축물 단속,변산면 마포리 산86-125 공사로 인한 작물피해,2018-01-18,,2018-01-29,민원소통과,처리완료,부안읍
586,국민생활관 운동기구 교체필요,수원시 시청과 구청에서 라돈측정기 유료대여 해주던데익산시도 라돈측정기 대여가 가능했으면 좋겠습니다.,2018-06-18,2018-06-20,2018-06-21,국민생활관,처리완료,부안읍
587,"익산시노인종합복지관과 원광여고, 원광정보예술고, 원광여중 후문 앞 도로 그리고 정문 앞(2곳) 횡단보도에 과속방지턱 설치 바랍니다.","정헌율 시장님께제 아이의 수고에 대한 아픔과 억울함을, 호소하기 위해 이 방법을 선택하게 되었습니다. 부모에 한 마음으로 제 글을 읽어주시고 연락 기다리겠습니다.17년 5월14일 서동선화 주니어 선발대회에 누구보다 진심으로 기다리고 준비 했습니다.2번에 오리엔테이션 연습기간.. 솜리에서의 예선 그리고 14일 본선, 누구보다도 잘한 저희아이가 순위안에도 못들고 60명이라는 전원 참가상 일부인 인기상을 받았습니다. 그것도 당일 현장에서가 아닌, 관련 사이트 공지로 말입니다.!첫회 열리는 행사도아닌 그리고 이렇게 지역에서 큰 행사가 이리 매끄럽지 못하고 편파적인 심사결과까지 ...다 좋은데요. 저희 아이는 너무나 억울한 결과를 받았습니다. 심사기준에 장기,용모,단체안무등 어느곳하나 아쉬운게 잘못한게 없는 함께 참여한 부모님은 물론 그자리에 계신 시민들 에게도 저희 아이는 너무 눈에 들어오고  잘한 친구였습니다. 그런데 이겐 왠일인지 제가 너무 큰 충격과 심사결과 발표시~ 제 자존심에 그 자리에서 박차고 건의 못들였다는것에 너무 제 자신에게 화가납니다. 아이도 어린아이 에게도 잘했다는 감정이 있습니다. 수상을 못 받은 제 아이에 모습 눈빛이 아른거려 잠을 이룰수 없어 주관한곳에 따지러 갔고, 제 아이에 대해 미안함 마음뿐.... 양심은 있으신지 뭐라 말씀을 못이어가시고 저는 억울하다 와서 물어볼줄 알았다는 것을 관계자도 인정하고 아셨고 했다는 부분이 더 화가나고 슬프고 억울하였습니다. 심사위원 프로필 주시라니 심사기준에 본인들이 먼저 알아볼테니 시간을 달라고 하지만 번복할수는 없을거라고(시장님 제가 어떻게 해야 하지요???)다시준다고 번복할수 있다해도 원치 않지만 이 세상이 이리 어두운 세상이자 나라입니까? 부모에 스팩이나 인맥이 중요한 행사였담 부모 프로필을 골라 예선을 치루시지 왜 잘하는 친구들이 희생자가 되서 지역행사에 볼거리 그 주관기관에지도, 준비 수준만 눂여준 것밖에 되지않는.... 불쌍한 아이로 만들고 잘해도 않되는 슬픔을 맛보게 하시나요. 다 자녀를 키우시고 가정이 있고 지금에 자리까지 얼마나 수고하셨던 분들이 이렇게 하셔도 되는 겁니까? 성공하고 그 자리까지 그냥 되진 않으셨을텐데요 (시장님 시장님...)좋은 취지로 열리고 앞으로도 있을 이런행사가 이러면 않되잖아요~~좋은경험 추억을 주고자 아이들에게 이런자리를 주신거잖아요. 짚고 넘어갈수 있도록 저희아이가 슬프지 않도록 사과를 공식적으로 받고싶습니다.진심으로 부탁 드립니다ㅏ.",2017-05-12,2017-05-15,2017-05-18,교통행정과,처리완료,부안읍
